i   j
1 - 0
1 - 1
1 - 2
1 - 3
2 - 3
3 - 3
3 - 4
4 - 4
4 - 5
4 - 6
5 - 6
6 - 6
6 - 7
7 - 7
7 - 8
6 - 8
6 - 9
6 - 10
6 - 11
7 - 11
7 - 12
8 - 12
9 - 12
10 - 12
11 - 12
12 - 12
12 - 13
13 - 13
13 - 14
13 - 15
14 - 15
15 - 15
16 - 15
17 - 15
18 - 15
19 - 15
20 - 15
21 - 15
22 - 15
23 - 15
24 - 15
24 - 16
25 - 16
25 - 17
25 - 18
26 - 18
25 - 18
25 - 19
25 - 20
25 - 21
26 - 21
25 - 21
25 - 22
25 - 23
25 - 24
26 - 24
27 - 24
28 - 24
29 - 24
30 - 24
31 - 24
32 - 24
33 - 24
34 - 24
35 - 24
36 - 24
37 - 24
38 - 24
39 - 24
40 - 24
41 - 24
42 - 24
43 - 24
44 - 24
45 - 24
46 - 24
47 - 24
48 - 24
48 - 25
48 - 24
47 - 24
46 - 24
46 - 25
46 - 26
46 - 27
47 - 27
48 - 27
48 - 28
48 - 29
48 - 30
48 - 31
48 - 32
48 - 31
48 - 30
48 - 29
48 - 28
48 - 27
47 - 27
46 - 27
46 - 28
46 - 29
46 - 30
46 - 31
46 - 32
46 - 33
46 - 34
46 - 35
46 - 36
47 - 36
48 - 36
48 - 37
48 - 38
48 - 39
47 - 39
46 - 39
46 - 40
46 - 41
46 - 42
46 - 43
46 - 44
46 - 45
46 - 46
46 - 47
46 - 48
47 - 48
48 - 48
48 - 49
